"b'18\t  508\n'"
"b'659778\t  113\t  485\n'"
"b'660829\t  105\t  483\n'"
"b'661879\t  105\t  478\n'"
"b'662929\t  105\t  484\n'"
"b'663980\t  109\t  486\n'"
"b'665030\t  108\t  484\n'"
"b'666081\t  107\t  489\n'"
"b'667131\t  106\t  483\n'"
"b'668182\t  103\t  482\n'"
"b'669233\t  106\t  487\n'"
"b'670283\t  105\t  488\n'"
"b'671333\t  103\t  483\n'"
"b'672384\t  109\t  488\n'"
"b'673434\t  108\t  489\n'"
"b'674485\t  104\t  481\n'"
"b'675535\t  105\t  486\n'"
"b'676586\t  105\t  485\n'"
"b'677637\t  108\t  489\n'"
"b'678687\t  114\t  483\n'"
"b'679737\t  109\t  490\n'"
"b'680787\t  111\t  490\n'"
"b'681838\t  105\t  493\n'"
"b'682889\t  104\t  489\n'"
"b'683939\t  107\t  489\n'"
"b'684990\t  109\t  480\n'"
"b'686041\t  111\t  484\n'"
"b'687091\t  112\t  489\n'"
"b'688141\t  109\t  489\n'"
"b'689191\t  107\t  488\n'"
"b'690242\t  109\t  489\n'"
"b'691293\t  112\t  482\n'"
"b'692343\t  104\t  479\n'"
"b'693394\t  109\t  489\n'"
"b'694445\t  107\t  485\n'"
"b'695495\t  111\t  490\n'"
"b'696545\t  110\t  488\n'"
"b'697595\t  110\t  491\n'"
"b'698646\t  105\t  488\n'"
"b'699697\t  110\t  487\n'"
"b'700747\t  112\t  496\n'"
"b'701798\t  107\t  489\n'"
"b'702849\t  112\t  479\n'"
"b'703899\t  106\t  486\n'"
"b'704949\t  110\t  492\n'"
"b'705999\t  109\t  491\n'"
"b'707050\t  105\t  486\n'"
"b'708101\t  107\t  485\n'"
"b'709151\t  112\t  493\n'"
"b'710202\t  108\t  488\n'"
"b'711252\t  110\t  492\n'"
"b'712303\t  106\t  483\n'"
"b'713353\t  111\t  491\n'"
"b'714403\t  112\t  491\n'"
"b'715454\t  109\t  497\n'"
"b'716505\t  112\t  499\n'"
"b'717555\t  110\t  489\n'"
"b'718606\t  114\t  496\n'"
"b'719656\t  108\t  499\n'"
"b'720707\t  112\t  488\n'"
"b'721757\t  111\t  495\n'"
"b'722807\t  112\t  494\n'"
"b'723858\t  107\t  498\n'"
"b'724909\t  112\t  494\n'"
"b'725959\t  101\t  486\n'"
"b'727010\t  108\t  494\n'"
"b'728060\t  112\t  498\n'"
"b'729111\t  110\t  494\n'"
"b'730161\t  114\t  506\n'"
"b'731211\t  108\t  498\n'"
"b'732262\t  108\t  499\n'"
"b'733313\t  112\t  504\n'"
"b'734363\t  102\t  498\n'"
"b'735414\t  107\t  503\n'"
"b'736464\t  107\t  493\n'"
"b'737515\t  112\t  505\n'"
"b'738565\t  108\t  501\n'"
"b'739615\t  110\t  497\n'"
"b'740666\t  112\t  503\n'"
"b'741716\t  114\t  509\n'"
"b'742767\t  111\t  506\n'"
"b'743818\t  105\t  491\n'"
"b'744868\t  106\t  500\n'"
"b'745919\t  114\t  495\n'"
"b'746969\t  110\t  500\n'"
